image_name,human_emotion,gpt4o_zero_shot,gpt4o_few_shot,gpt4o_cot,gemini_zero_shot,gemini_few_shot,gemini_cot
kenan_and_watermelon_head_page_28.png,غضب,غضب,غضب,غضب,مفاجأة,محايد,سعادة
kenan_and_watermelon_head_page_30.png,حزن,ترقب,ترقب,ترقب,محايد,محايد,محايد
kenan_and_watermelon_head_page_32.png,مفاجأة,مفاجأة,مفاجأة,مفاجأة,مفاجأة,مفاجأة,مفاجأة
kenan_and_watermelon_head_page_34.png,غضب,مفاجأة,غضب,غضب,غضب,ترقب,غضب
kenan_and_watermelon_head_page_35.png,سعادة,سعادة,ثقة,ثقة,سعادة,سعادة,سعادة
kenan_and_watermelon_head_page_37.png,سعادة,سعادة,سعادة,سعادة,ترقب,ترقب,ترقب
kenan_and_watermelon_head_page_39.png,مفاجأة,ثقة,ثقة,ثقة,مفاجأة,مفاجأة,ثقة
kenan_and_watermelon_head_page_41.png,سعادة,مفاجأة,سعادة,سعادة,مفاجأة,مفاجأة,مفاجأة
kenan_and_watermelon_head_page_42.png,ثقة,ثقة,ثقة,ثقة,ثقة,ثقة,ثقة
kenan_and_watermelon_head_page_46.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
kenan_and_watermelon_head_page_49.png,ثقة,ثقة,ثقة,ثقة,سعادة,سعادة,ثقة
mama_the_storyteller_page_12.png,سعادة,ترقب,ترقب,ترقب,ثقة,ثقة,ثقة
mama_the_storyteller_page_13.png,حزن,ترقب,حزن,ترقب,سعادة,سعادة,سعادة
mama_the_storyteller_page_15.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
mama_the_storyteller_page_19.png,ترقب,سعادة,سعادة,ترقب,سعادة,سعادة,سعادة
mama_the_storyteller_page_20.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
mama_the_storyteller_page_4.png,ثقة,ثقة,ثقة,ثقة,سعادة,سعادة,ترقب
mama_the_storyteller_page_6.png,سعادة,سعادة,سعادة,سعادة,حزن,خوف,حزن
mama_the_storyteller_page_7.png,ترقب,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
mama_the_storyteller_page_8.png,ثقة,ترقب,ترقب,ترقب,حزن,خوف,حزن
mama_the_storyteller_page_9.png,حزن,حزن,حزن,حزن,ترقب,ترقب,ترقب
open_tap_page_10.png,خوف,غضب,خوف,خوف,غضب,خوف,غضب
open_tap_page_11.png,خوف,خوف,خوف,خوف,خوف,غضب,خوف
open_tap_page_12.png,قرف,قرف,قرف,قرف,قرف,قرف,قرف
open_tap_page_13.png,مفاجأة,مفاجأة,قرف,مفاجأة,غضب,غضب,غضب
open_tap_page_14.png,ترقب,مفاجأة,قرف,ترقب,خوف,خوف,خوف
open_tap_page_15.png,ترقب,ترقب,ترقب,ترقب,محايد,حزن,حزن
open_tap_page_16.png,سعادة,سعادة,ثقة,ثقة,سعادة,سعادة,سعادة
open_tap_page_20.png,خوف,مفاجأة,خوف,مفاجأة,مفاجأة,سعادة,مفاجأة
open_tap_page_21.png,ترقب,مفاجأة,خوف,ترقب,حزن,خوف,مفاجأة
open_tap_page_6.png,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة,سعادة
open_tap_page_7.png,سعادة,سعادة,ترقب,سعادة,سعادة,سعادة,سعادة
open_tap_page_9.png,خوف,خوف,ترقب,خوف,حزن,مفاجأة,خوف
